N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"78,800","1,500",-1.87%,100,"4,704,189","5,969,783",51.89,"19,681,132",15.27,9.99,
2,SK하이닉스,"127,000",500,-0.39%,"5,000","924,563","728,002",48.95,"3,825,725",11.48,9.53,
3,NAVER,"382,000","2,500",-0.65%,100,"626,668","164,049",56.15,"351,967",3.78,15.22,
4,삼성전자우,"71,700",700,-0.97%,100,"590,010","822,887",74.56,"1,491,882",13.90,N/A,
5,삼성바이오로직스,"890,000","1,000",-0.11%,"2,500","588,868","66,165",11.16,"71,396",143.46,N/A,
6,카카오,"114,000",500,+0.44%,100,"508,195","445,785",30.81,"1,786,029",44.88,2.70,
7,삼성SDI,"663,000","12,000",+1.84%,"5,000","455,909","68,765",45.44,"235,259",41.58,4.54,
8,현대차,"212,000","2,000",-0.93%,"5,000","452,977","213,668",28.25,"657,449",10.74,2.04,
9,LG화학,"628,000","4,000",-0.63%,"5,000","443,320","70,592",46.70,"160,605",16.36,2.93,
10,기아,"83,400","1,100",-1.30%,"5,000","338,073","405,363",34.93,"1,051,422",7.56,5.05,
11,카카오뱅크,"59,800",500,-0.83%,"5,000","284,145","475,159",17.21,"503,505",193.53,5.08,
12,셀트리온,"201,000","11,000",-5.19%,"1,000","277,274","137,947",20.54,"1,616,508",51.15,16.68,
13,현대모비스,"261,000","4,500",-1.69%,"5,000","246,836","94,573",34.22,"248,429",10.51,4.66,
14,POSCO,"279,000","4,500",-1.59%,"5,000","243,251","87,187",52.22,"328,557",4.18,3.61,
15,카카오페이,"176,500","5,000",-2.75%,500,"232,774","131,883",42.72,"247,661",-878.11,-17.97,
16,KB금융,"55,400","1,400",-2.46%,"5,000","230,358","415,808",69.36,"1,157,796",5.30,8.53,
17,LG전자,"140,500","2,500",+1.81%,"5,000","229,925","163,648",29.01,"1,101,436",20.27,13.23,
18,크래프톤,"467,000","5,000",+1.08%,100,"228,676","48,967",30.56,"167,844",36.60,61.86,
19,SK이노베이션,"239,000","13,000",+5.75%,"5,000","220,993","92,466",23.54,"680,199","-7,029.41",-13.58,
20,삼성물산,"116,000","2,000",-1.69%,100,"216,789","186,887",14.89,"417,509",13.20,3.81,
21,신한지주,"37,200",950,-2.49%,"5,000","192,175","516,600",60.17,"1,829,675",4.94,8.20,
22,SK,"255,000",500,-0.20%,200,"189,081","74,149",21.65,"188,834",29.80,1.11,
23,LG생활건강,"1,111,000","21,000",-1.86%,"5,000","173,518","15,618",43.14,"27,126",23.12,17.92,
24,SK바이오사이언스,"223,500","2,000",+0.90%,500,"170,978","76,500",5.97,"675,018",86.06,13.25,
25,삼성전기,"197,000","3,000",+1.55%,"5,000","147,147","74,694",30.50,"852,567",15.14,10.92,
26,엔씨소프트,"660,000","4,000",+0.61%,500,"144,897","21,954",44.53,"105,638",40.75,20.83,
27,하이브,"349,500","8,500",-2.37%,500,"144,530","41,353",16.85,"333,555",124.33,12.52,
28,한국전력,"22,100",400,-1.78%,"5,000","141,874","641,964",14.72,"2,172,178",-13.02,2.91,
29,HMM,"27,600","2,100",+8.24%,"5,000","134,975","489,039",10.58,"5,318,804",3.48,8.93,
30,삼성생명,"65,300","3,200",-4.67%,500,"130,600","200,000",12.30,"541,291",8.35,3.53,
31,LG,"81,800","1,900",-2.27%,"5,000","128,672","157,301",35.99,"398,921",5.40,7.50,
32,하나금융지주,"42,700","1,250",-2.84%,"5,000","128,203","300,242",67.50,"1,442,661",3.99,8.96,
33,SK텔레콤,"58,300","3,000",-4.89%,100,"127,580","218,833",44.49,"1,353,893",9.04,6.44,
34,삼성에스디에스,"159,500","2,000",-1.24%,500,"123,418","77,378",10.98,"86,258",18.16,6.71,
35,SK아이이테크놀로지,"168,500","2,500",+1.51%,"1,000","120,136","71,298",11.77,"274,372",110.78,11.00,
36,두산중공업,"21,550",800,+3.86%,"5,000","112,258","520,921",9.16,"7,140,791",61.75,-37.20,
37,포스코케미칼,"142,500",500,+0.35%,500,"110,385","77,463",6.12,"245,401",79.56,2.96,
38,KT&G,"79,700","4,200",-5.01%,"5,000","109,422","137,292",35.33,"1,198,329",9.19,13.22,
39,대한항공,"29,950",950,+3.28%,"5,000","104,172","347,821",11.80,"2,829,182",14.07,-7.22,
40,아모레퍼시픽,"175,000","1,500",-0.85%,500,"102,362","58,493",30.60,"141,787",67.49,0.78,
41,넷마블,"119,000","2,000",-1.65%,100,"102,285","85,954",22.82,"206,483",44.01,6.35,
42,S-Oil,"87,800","1,400",-1.57%,"2,500","98,848","112,583",77.70,"404,704",8.45,-13.07,
43,고려아연,"523,000","9,000",-1.69%,"5,000","98,690","18,870",18.19,"30,482",13.08,8.37,
44,삼성화재,"205,500","16,500",-7.43%,500,"97,355","47,375",48.28,"181,111",8.88,4.96,
45,우리금융지주,"12,850",300,-2.28%,"5,000","93,556","728,061",30.00,"4,504,256",3.93,5.87,
46,SK스퀘어,"64,500",300,-0.46%,100,"91,247","141,468",38.41,"969,162",N/A,N/A,
47,LG이노텍,"368,000","8,500",+2.36%,"5,000","87,095","23,667",26.31,"489,514",11.66,10.20,
48,LG디스플레이,"24,300","1,300",+5.65%,"5,000","86,949","357,816",17.70,"10,671,120",5.51,-0.79,
49,현대중공업,"93,700","1,000",+1.08%,"5,000","83,180","88,773",1.63,"257,857",-10.23,-7.86,
50,KT,"31,000","1,850",-5.63%,"5,000","80,945","261,112",43.84,"2,362,511",7.92,4.76,
51,기업은행,"10,450",650,-5.86%,"5,000","77,779","744,301",12.85,"4,600,553",3.87,6.44,
52,SK바이오팜,"97,800","1,600",+1.66%,500,"76,590","78,313",6.19,"168,617",-189.53,-135.18,
53,롯데케미칼,"222,500","6,500",-2.84%,"5,000","76,263","34,275",24.86,"123,088",5.60,1.22,
54,F&F,"979,000","32,000",+3.38%,500,"75,005","7,661",15.14,"73,800",N/A,N/A,
55,한온시스템,"13,700",300,-2.14%,100,"73,131","533,800",17.63,"519,286",25.00,5.09,
56,한화솔루션,"36,200",200,+0.56%,"5,000","69,243","191,278",18.10,"527,893",9.25,5.30,
57,한국조선해양,"95,800","2,300",+2.46%,"5,000","67,801","70,773",20.38,"273,786",-5.26,-7.42,
58,SKC,"173,000","1,500",-0.86%,"5,000","65,512","37,868",16.25,"214,828",35.24,2.21,
59,현대글로비스,"172,000",500,+0.29%,500,"64,500","37,500",32.77,"193,514",9.27,12.45,
60,일진머티리얼즈,"133,500","3,500",+2.69%,500,"61,558","46,111",12.32,"402,224",96.88,7.23,
61,KODEX 200,"40,115",90,-0.22%,0,"61,376","153,000",11.81,"3,292,979",N/A,N/A,
62,LG유플러스,"13,650",500,-3.53%,"5,000","59,597","436,611",35.16,"1,672,626",15.18,6.46,
63,CJ제일제당,"388,500","3,500",-0.89%,"5,000","58,486","15,054",22.31,"26,345",13.25,13.50,
64,메리츠금융지주,"42,900",900,+2.14%,500,"57,491","134,011",8.23,"456,825",8.08,16.06,
65,코웨이,"76,800","1,300",-1.66%,500,"56,678","73,800",60.26,"111,371",12.72,31.51,
66,맥쿼리인프라,"13,950",200,-1.41%,0,"56,476","404,846",13.33,"1,925,541",N/A,N/A,
67,에스디바이오센서,"54,500",900,+1.68%,500,"56,283","103,271",6.84,"299,751",8.26,139.97,
68,미래에셋증권,"8,700",210,-2.36%,"5,000","55,273","635,316",12.56,"1,355,166",5.95,8.94,
69,현대제철,"41,200",800,-1.90%,"5,000","54,980","133,446",20.15,"443,663",6.31,-2.59,
70,금호석유,"172,500","12,500",-6.76%,"5,000","52,557","30,468",18.20,"352,213",3.09,20.18,
71,강원랜드,"24,350",200,+0.83%,500,"52,095","213,940",18.78,"594,461",-158.12,-7.92,
72,삼성중공업,"5,710",130,+2.33%,"1,000","50,248","880,000",14.57,"4,516,985",-2.33,-33.06,
73,현대건설,"44,900",50,-0.11%,"5,000","49,999","111,356",22.25,"628,143",29.85,1.84,
74,한국타이어앤테크놀로지,"40,250","1,200",-2.90%,500,"49,860","123,875",41.51,"169,845",7.55,5.12,
75,한국금융지주,"81,300","4,200",-4.91%,"5,000","45,305","55,726",34.58,"373,553",2.78,16.27,
76,삼성엔지니어링,"22,950","1,050",+4.79%,"5,000","44,982","196,000",35.09,"3,220,224",12.70,17.32,
77,유한양행,"63,000","1,600",-2.48%,"1,000","44,083","69,973",17.29,"366,178",47.76,11.06,
78,현대중공업지주,"54,700","3,200",-5.53%,"1,000","43,209","78,993",16.35,"490,109",-12.68,-8.12,
79,이마트,"151,000","1,000",-0.66%,"5,000","42,092","27,876",33.40,"79,180",3.04,4.05,
80,오리온,"105,500",0,0.00%,500,"41,711","39,536",37.51,"78,236",17.54,15.50,
81,두산밥캣,"41,150",300,-0.72%,500,"41,253","100,249",25.24,"128,645",11.26,6.15,
82,한진칼,"61,600",100,+0.16%,"2,500","41,111","66,739",14.48,"136,045",-70.16,-19.55,
83,삼성증권,"45,550","4,150",-8.35%,"5,000","40,676","89,300",29.29,"1,993,707",4.29,9.89,
84,메리츠화재,"32,400",100,-0.31%,500,"39,082","120,625",10.19,"200,607",6.72,16.91,
85,쌍용C&E,"7,720",170,-2.15%,100,"38,898","503,860",3.08,"1,008,547",18.88,7.92,
86,현대오토에버,"140,000","3,500",+2.56%,500,"38,394","27,424",2.22,"330,084",50.82,11.09,
87,DB손해보험,"54,000","5,100",-8.63%,500,"38,232","70,800",42.73,"337,538",4.80,9.08,
88,NH투자증권,"12,650",950,-6.99%,"5,000","37,575","297,034",17.73,"2,657,006",4.64,10.32,
89,아모레G,"45,300",650,-1.41%,500,"37,354","82,458",15.96,"58,644",25.44,0.31,
90,한미사이언스,"55,000","1,900",-3.34%,500,"37,018","67,305",1.37,"94,945",69.71,3.47,
91,현대차2우B,"101,000","4,000",-3.81%,"5,000","36,850","36,485",61.76,"87,704",5.12,N/A,
92,삼성카드,"31,750","2,600",-7.57%,"5,000","36,785","115,859",7.12,"781,436",7.83,5.69,
93,GS,"39,500","2,000",-4.82%,"5,000","36,702","92,915",18.52,"388,027",3.58,-2.82,
94,한국가스공사,"38,650",950,-2.40%,"5,000","35,679","92,313",10.45,"269,778",8.03,-2.24,
95,메리츠증권,"5,170",200,-3.72%,"1,000","35,245","681,731",13.30,"2,722,704",5.25,13.08,
96,한솔케미칼,"306,500","1,500",+0.49%,"5,000","34,742","11,335",42.66,"36,645",23.91,24.50,
97,GS건설,"40,500",850,-2.06%,"5,000","34,660","85,581",25.67,"481,790",9.86,7.68,
98,한미약품,"275,500","7,500",-2.65%,"2,500","33,276","12,078",13.34,"30,767",43.88,1.65,
99,한전기술,"86,100",0,0.00%,200,"32,907","38,220",1.86,"854,704",323.68,N/A,
100,DB하이텍,"73,100","1,600",+2.24%,"5,000","32,455","44,399",24.33,"758,789",15.27,23.07,
101,GS리테일,"30,800",750,-2.38%,"1,000","32,253","104,718",8.29,"194,233",3.11,7.50,
102,롯데지주,"30,250",850,-2.73%,200,"31,735","104,909",8.19,"208,316",15.76,-3.03,
103,한국항공우주,"32,450",600,+1.88%,"5,000","31,631","97,475",12.24,"681,127",220.75,6.39,
104,TIGER 차이나전기차SOLACTIVE,"17,750",65,-0.36%,0,"31,474","177,320",0.00,"4,094,270",N/A,N/A,
105,두산퓨얼셀,"47,750",50,-0.10%,100,"31,273","65,494",14.70,"615,662",955.00,4.18,
106,호텔신라,"78,300",100,+0.13%,"5,000","30,731","39,248",12.35,"258,930",-30.06,-36.74,
107,동서,"30,650",300,+0.99%,500,"30,558","99,700",2.90,"188,077",28.78,8.61,
108,한화시스템,"16,100",450,+2.88%,"5,000","30,416","188,919",2.13,"1,083,807",19.52,9.35,
109,팬오션,"5,540",120,+2.21%,"1,000","29,615","534,570",11.63,"1,970,666",9.52,3.25,
110,만도,"62,600",500,-0.79%,"1,000","29,395","46,957",21.17,"308,995",13.19,0.37,
111,CJ대한통운,"126,500","1,500",+1.20%,"5,000","28,858","22,812",21.26,"57,849",97.99,3.89,
112,키움증권,"108,000","1,000",-0.92%,"5,000","28,317","26,220",25.67,"128,502",3.11,27.63,
113,에스원,"74,000","2,600",-3.39%,500,"28,119","37,999",52.94,"52,889",18.50,10.48,
114,포스코인터내셔널,"22,650",150,-0.66%,"5,000","27,944","123,375",6.66,"759,371",9.16,7.69,
115,현대미포조선,"69,800","2,900",+4.33%,"5,000","27,880","39,942",10.54,"383,634",-18.13,-0.84,
116,KCC,"311,000","4,000",-1.27%,"5,000","27,637","8,886",12.33,"24,469",3.93,12.79,
117,BNK금융지주,"8,400",540,-6.04%,"5,000","27,379","325,935",39.20,"3,346,438",3.36,6.11,
118,씨에스윈드,"64,000",400,+0.63%,500,"26,990","42,171",10.45,"235,469",58.08,8.19,
119,제일기획,"23,450",700,-2.90%,200,"26,977","115,041",32.09,"239,760",13.82,16.11,
120,효성첨단소재,"599,000","9,000",+1.53%,"5,000","26,835","4,480",10.21,"68,391",12.50,0.03,
121,SK케미칼,"151,500","4,000",-2.57%,"5,000","26,695","17,621",16.23,"86,495",72.21,30.49,
122,녹십자,"224,500","2,500",+1.13%,"5,000","26,236","11,687",22.92,"30,179",30.42,7.48,
123,솔루스첨단소재,"85,700","2,400",-2.72%,100,"26,215","30,590",8.43,"550,491",-337.40,-5.10,
124,한화생명,"3,010",60,-1.95%,"5,000","26,143","868,530",8.03,"2,304,168",3.42,1.90,
125,BGF리테일,"146,000","4,000",-2.67%,"1,000","25,234","17,284",32.43,"14,650",18.27,18.60,
126,신세계,"255,000","5,000",+2.00%,"5,000","25,105","9,845",24.44,"66,019",9.59,-2.81,
127,OCI,"105,000",500,+0.48%,"5,000","25,042","23,849",17.39,"185,441",12.52,-9.89,
128,롯데쇼핑,"88,000","2,000",-2.22%,"5,000","24,894","28,289",11.01,"113,989",-9.35,-7.70,
129,CJ,"84,500","2,200",-2.54%,"5,000","24,655","29,177",17.19,"68,965",73.22,1.89,
130,대우조선해양,"22,850",200,+0.88%,"5,000","24,516","107,291",5.36,"298,152",-1.66,2.27,
131,한화에어로스페이스,"48,250","1,250",+2.66%,"5,000","24,429","50,630",16.57,"560,707",8.76,4.78,
132,현대차우,"100,000","3,000",-2.91%,"5,000","24,357","24,357",57.91,"90,456",5.07,N/A,
133,대우건설,"5,840",20,+0.34%,"5,000","24,272","415,623",11.35,"1,098,692",4.96,11.06,
134,한화,"31,800",400,-1.24%,"5,000","23,837","74,959",16.22,"223,012",5.38,4.79,
135,KODEX 200선물인버스2X,"2,130",0,0.00%,0,"23,600","1,108,000",2.79,"120,084,941",N/A,N/A,
136,DL이앤씨,"120,000","2,500",-2.04%,"5,000","23,230","19,359",25.42,"133,308",N/A,N/A,
137,현대로템,"21,050",650,+3.19%,"5,000","22,974","109,142",4.15,"958,137",73.34,2.84,
138,효성티앤씨,"529,000","14,000",-2.58%,"5,000","22,893","4,328",17.97,"31,383",3.24,25.10,
139,LG화학우,"295,000","9,500",-3.12%,"5,000","22,682","7,689",69.82,"24,862",7.69,N/A,
140,TIGER 200,"40,150",100,-0.25%,0,"22,645","56,400",0.76,"1,081,927",N/A,N/A,
141,한샘,"96,000",900,+0.95%,"1,000","22,593","23,534",16.55,"113,306",28.24,10.83,
142,더존비즈온,"73,800",200,-0.27%,500,"22,422","30,383",40.02,"56,787",36.12,15.09,
143,현대위아,"80,900",200,-0.25%,"5,000","22,001","27,195",6.86,"199,190",60.28,1.96,
144,휠라홀딩스,"35,350",350,+1.00%,"1,000","21,476","60,752",43.83,"275,312",9.13,10.94,
145,하이트진로,"30,500",350,-1.13%,"5,000","21,391","70,134",4.04,"155,175",41.55,8.23,
146,현대해상,"23,400","1,500",-6.02%,500,"20,920","89,400",25.04,"1,053,676",5.47,7.13,
147,후성,"22,550",250,+1.12%,500,"20,883","92,607",7.95,"2,652,911",75.93,2.79,
148,효성,"96,900","7,100",-6.83%,"5,000","20,418","21,071",7.99,"155,618",5.27,-2.26,
149,일진하이솔루스,"54,400",500,+0.93%,500,"19,754","36,313",2.84,"304,059",101.49,34.27,
150,롯데정밀화학,"76,500","1,900",-2.42%,"5,000","19,737","25,800",22.05,"112,608",4.63,12.65,
151,KODEX MSCI Korea TR,"12,940",15,+0.12%,0,"19,695","152,200",3.74,"328,290",N/A,N/A,
152,농심,"321,000","1,000",+0.31%,"5,000","19,525","6,083",12.61,"17,668",18.29,7.50,
153,코오롱인더,"70,800",700,+1.00%,"5,000","19,484","27,519",18.77,"255,987",10.99,9.70,
154,영원무역,"43,800",400,-0.90%,500,"19,408","44,311",27.98,"63,045",8.42,8.03,
155,두산,"117,000","2,500",-2.09%,"5,000","19,333","16,524",10.64,"51,632",-67.40,-34.34,
156,TIGER 미국나스닥100,"87,985",135,-0.15%,0,"18,873","21,450",0.03,"112,277",N/A,N/A,
157,대웅,"31,850",50,+0.16%,500,"18,518","58,142",4.42,"88,006",17.54,15.10,
158,한미반도체,"37,000",150,+0.41%,200,"18,300","49,460",6.44,"373,607",22.00,21.03,
159,TIGER MSCI Korea TR,"16,255",50,+0.31%,0,"18,254","112,300",14.25,457,N/A,N/A,
160,대웅제약,"152,500","5,000",+3.39%,"2,500","17,670","11,587",6.94,"92,635",153.11,2.38,
161,현대백화점,"75,500",800,+1.07%,"5,000","17,669","23,402",18.05,"73,191",11.42,1.65,
162,한전KPS,"38,600",500,-1.28%,200,"17,370","45,000",6.25,"231,464",14.38,8.23,
163,LS,"53,900","1,100",-2.00%,"5,000","17,356","32,200",13.98,"55,289",6.77,3.94,
164,신풍제약,"32,450",150,+0.46%,500,"17,194","52,985",11.43,"707,481","5,408.33",1.72,
165,오뚜기,"463,000","7,000",-1.49%,"5,000","17,001","3,672",11.57,"3,076",15.37,7.93,
166,현대엘리베이,"41,500",300,-0.72%,"5,000","16,938","40,815",28.17,"165,735",26.74,9.78,
167,LS ELECTRIC,"56,000","1,000",-1.75%,"5,000","16,800","30,000",17.90,"63,778",20.73,6.15,
168,JB금융지주,"8,220",510,-5.84%,"5,000","16,192","196,983",41.75,"1,095,072",3.39,10.06,
169,KODEX 레버리지,"24,165",60,-0.25%,0,"16,142","66,800",1.89,"13,368,564",N/A,N/A,
170,케이카,"33,250",50,+0.15%,500,"15,989","48,087",18.37,"96,808",55.23,15.11,
171,DGB금융지주,"9,420",450,-4.56%,"5,000","15,934","169,146",48.89,"945,608",3.37,6.93,
172,KODEX 단기채권,"103,115",10,+0.01%,0,"15,849","15,370",0.00,"11,476",N/A,N/A,
173,대한전선,"1,840",80,+4.55%,500,"15,759","856,473",2.72,"13,662,931",47.18,0.92,
174,명신산업,"29,850",450,+1.53%,500,"15,662","52,470",2.64,"625,690",-12.94,-67.39,
175,PI첨단소재,"53,200",100,-0.19%,500,"15,623","29,366",13.06,"121,100",26.71,15.62,
176,에스엘,"32,000",150,-0.47%,500,"15,425","48,203",15.45,"170,297",10.61,4.74,
177,동국제강,"16,150",200,+1.25%,"5,000","15,412","95,433",22.53,"523,512",3.41,3.35,
178,HDC현대산업개발,"23,300",350,-1.48%,"5,000","15,356","65,907",10.33,"173,007",5.06,8.85,
179,아시아나항공,"20,350",800,+4.09%,"5,000","15,143","74,412",7.72,"573,672",-3.50,-43.83,
180,한국앤컴퍼니,"15,900",350,-2.15%,500,"15,095","94,935",9.70,"120,000",6.10,5.08,
181,KODEX 삼성그룹,"9,955",75,+0.76%,0,"15,012","150,800",1.45,"216,792",N/A,N/A,
182,LIG넥스원,"67,800","2,300",+3.51%,"5,000","14,916","22,000",6.55,"394,220",15.80,8.86,
183,동원시스템즈,"51,000",900,-1.73%,"5,000","14,886","29,188",13.21,"35,500",23.10,10.97,
184,한일시멘트,"21,100",100,-0.47%,500,"14,614","69,262",2.50,"73,459",13.90,N/A,
185,KODEX 종합채권(AA-이상)액티브,"108,485",145,+0.13%,0,"14,580","13,440",0.00,"36,964",N/A,N/A,
186,현대두산인프라코어,"7,100",330,+4.87%,"1,000","14,018","197,435",9.92,"3,967,559",6.07,6.47,
187,코스모신소재,"46,000","1,700",+3.84%,"1,000","13,840","30,087",6.83,"732,383",58.97,7.16,
188,TIGER 단기통안채,"100,510",10,+0.01%,0,"13,831","13,761",0.89,"16,743",N/A,N/A,
189,아이에스동서,"44,700",600,+1.36%,500,"13,809","30,893",5.56,"295,965",25.60,10.92,
190,롯데렌탈,"37,350",50,+0.13%,"5,000","13,683","36,634",1.74,"64,673",12.95,6.73,
191,한화투자증권,"6,330",180,+2.93%,"5,000","13,581","214,548",6.43,"3,575,025",10.64,5.58,
192,ESR켄달스퀘어리츠,"6,310",30,-0.47%,"1,000","13,446","213,089",32.35,"168,035",166.05,1.14,
193,롯데리츠,"5,530",130,-2.30%,500,"13,436","242,969",9.65,"348,226",34.56,1.68,
194,F&F홀딩스,"34,100",200,-0.58%,500,"13,338","39,114",0.89,"121,008",0.28,16.59,
195,금호타이어,"4,580",20,+0.44%,"5,000","13,157","287,260",4.28,"515,561",-18.32,-6.74,
196,LG생활건강우,"617,000","1,000",-0.16%,"5,000","12,955","2,100",84.17,789,12.84,N/A,
197,TIGER 2차전지테마,"23,105",165,+0.72%,0,"12,950","56,050",1.09,"990,675",N/A,N/A,
198,KODEX 2차전지산업,"22,345",280,+1.27%,0,"12,938","57,900",1.33,"1,063,078",N/A,N/A,
199,종근당,"113,000","2,500",-2.16%,"2,500","12,911","11,426",7.97,"43,535",25.89,17.88,
200,DL,"61,600","1,400",-2.22%,"5,000","12,909","20,956",12.18,"74,709",1.96,11.84,
